"pmean" "r" "q0.005" "q0.025" "q0.05" "q0.95" "q0.975" "q0.995"
"1" 0 0 0 0 0 0 0 0
"2" 2.010793e-05 0.0025 0 0 0 8.759391e-05 0.0001043532 0.0001403582
"3" 7.821723e-05 0.005 0 0 0 0.000196835 0.0002255192 0.0002873321
"4" 0.0001749283 0.0075 0 0 4.636828e-05 0.0003487034 0.0003869184 0.0004667257
"5" 0.0003117668 0.01 4.913126e-05 9.317739e-05 0.0001141357 0.0005384588 0.000589644 0.0006996058
"6" 0.0004869519 0.0125 0.0001286752 0.0002045887 0.000242015 0.0007583823 0.0008178143 0.0009566059
"7" 0.0007008591 0.015 0.0002529493 0.0003564288 0.0004092938 0.001023803 0.0010919291 0.0012362261
"8" 0.0009558106 0.0175 0.0004145893 0.000543914 0.0006071721 0.001335315 0.0014189686 0.0015831067
"9" 0.001248793 0.02 0.0006475366 0.0007824657 0.0008467072 0.001679507 0.0017699529 0.0019590895
"10" 0.001582088 0.0225 0.0009041886 0.001047854 0.001119748 0.002065726 0.0021698702 0.0024041099
"11" 0.001954799 0.025 0.001195641 0.001351002 0.001448608 0.002497958 0.0026012461 0.0028514102
"12" 0.00236598 0.0275 0.001534818 0.001710654 0.0018014 0.002959823 0.0030901667 0.0033723735
"13" 0.002818661 0.03 0.001894919 0.002091342 0.002202832 0.003471634 0.0035942777 0.0039348935
"14" 0.003306192 0.0325 0.002299558 0.002517324 0.00264475 0.004006934 0.0041474101 0.0045057667
"15" 0.003829829 0.035 0.002737138 0.002992994 0.003122947 0.004583363 0.0047472649 0.0050983076
"16" 0.004398871 0.0375 0.003225299 0.003516019 0.00364762 0.005209365 0.0053805339 0.0057696686
"17" 0.005002996 0.04 0.003759618 0.004036388 0.00418624 0.005874198 0.0060658739 0.0064320178
"18" 0.00564479 0.0425 0.004340573 0.004620349 0.004775715 0.006584706 0.0067765108 0.0072126475
"19" 0.006331086 0.045 0.004928375 0.005243442 0.005415082 0.007321326 0.0075435069 0.0079756713
"20" 0.00705509 0.0475 0.005581616 0.00591511 0.006081547 0.008107256 0.0083445832 0.0087841893
"21" 0.007815077 0.05 0.00628426 0.006602942 0.006783765 0.008925785 0.0091751921 0.0096041001
"22" 0.008617693 0.0525 0.006973767 0.007355856 0.007525192 0.00978808 0.0100451201 0.0105980652
"23" 0.009457709 0.055 0.007703486 0.008093455 0.008317265 0.01069116 0.0109377489 0.0115170655
"24" 0.01033388 0.0575 0.008508874 0.008913684 0.009119631 0.01160849 0.0118829734 0.0125012601
"25" 0.01125507 0.06 0.009380449 0.009757218 0.009994654 0.01259653 0.0128985388 0.0135809464
"26" 0.01221421 0.0625 0.01022651 0.01065601 0.01091366 0.01362032 0.0139246333 0.0145901162
"27" 0.01321189 0.065 0.01114303 0.01159499 0.01183506 0.01469133 0.0150082262 0.0156827602
