"pmean" "r" "q0.005" "q0.025" "q0.05" "q0.95" "q0.975" "q0.995"
"77" 0.28720702 0.19 0.095963544 0.128444271 0.146881381 0.4523455 0.4916026 0.5694085
"78" 0.28169288 0.1925 0.090318506 0.124386011 0.142131603 0.4480246 0.4883474 0.5674432
"79" 0.27631555 0.195 0.086266609 0.11895518 0.13779009 0.4445596 0.4801835 0.5624727
"80" 0.27109416 0.1975 0.082187464 0.115430169 0.133303666 0.4387626 0.4764598 0.5563743
"81" 0.26580354 0.2 0.076490593 0.11266628 0.128797433 0.4335158 0.4740426 0.5536742
"82" 0.26080346 0.2025 0.073582601 0.10689399 0.124126927 0.429606 0.4713011 0.551646
"83" 0.2558649 0.205 0.071411465 0.102721722 0.120347861 0.425024 0.4649912 0.5492315
"84" 0.25098816 0.2075 0.067506096 0.098608571 0.116632501 0.4203064 0.4575977 0.5475483
"85" 0.24632545 0.21 0.06250688 0.09475933 0.112560723 0.4161734 0.4557238 0.5402603
"86" 0.24182263 0.2125 0.060777994 0.091670253 0.108329216 0.4121858 0.4501478 0.5401889
"87" 0.23722245 0.215 0.056505566 0.087907629 0.104460406 0.4074815 0.4459664 0.5271409
"88" 0.23286842 0.2175 0.054706837 0.084149611 0.100906748 0.4026712 0.4416045 0.528381
"89" 0.22869104 0.22 0.051969347 0.081341188 0.098050026 0.3975988 0.4367861 0.5213466
"90" 0.22453235 0.2225 0.048210393 0.077502678 0.093937146 0.3925844 0.4333958 0.5189518
"91" 0.22024624 0.225 0.045036177 0.075086771 0.090334201 0.3880369 0.4286145 0.5220473
"92" 0.21624304 0.2275 0.044254843 0.071505826 0.086521222 0.3838601 0.4240183 0.5146739
"93" 0.21219398 0.23 0.042626445 0.067643677 0.083379607 0.3825736 0.4192858 0.5089313
"94" 0.20839097 0.2325 0.039119503 0.065566424 0.080856382 0.377794 0.4151304 0.5098349
"95" 0.20473967 0.235 0.036990148 0.061657543 0.078229708 0.375423 0.4131388 0.5055701
"96" 0.20093072 0.2375 0.033806544 0.05984074 0.074976844 0.3710795 0.4096517 0.5003612
"97" 0.1971976 0.24 0.033701925 0.056556025 0.071888505 0.3670511 0.4071501 0.498481
"98" 0.19367529 0.2425 0.030961071 0.054503257 0.069188523 0.3630516 0.4029202 0.4969614
"99" 0.19008483 0.245 0.028763578 0.051513131 0.066612478 0.3612551 0.4008893 0.4917413
"100" 0.18663323 0.2475 0.026182666 0.049584768 0.063923179 0.3552027 0.3975614 0.4878055
"101" 0.18341814 0.25 0.024890238 0.047274304 0.062086362 0.3520937 0.3914597 0.4874304
"102" 0.18008725 0.2525 0.024089326 0.045001043 0.059482995 0.3477394 0.3906283 0.4806814
"103" 0.17659887 0.255 0.023347941 0.043469364 0.055881479 0.3450653 0.3872533 0.4789167
"104" 0.17351196 0.2575 0.020760117 0.04116245 0.054575304 0.3415209 0.3841406 0.4730193
"105" 0.17048352 0.26 0.019957363 0.039401386 0.051099838 0.3374977 0.3805647 0.4742293
"106" 0.16750371 0.2625 0.016930368 0.037436676 0.049229187 0.3335976 0.3767393 0.4722205
"107" 0.1644851 0.265 0.015180223 0.035447365 0.048084683 0.3305009 0.3746543 0.4696384
"108" 0.16167025 0.2675 0.014315524 0.033028403 0.046094391 0.3265558 0.3718262 0.4673304
"109" 0.15881319 0.27 0.013744991 0.03172591 0.043999717 0.3251356 0.3678391 0.4627423
"110" 0.15590502 0.2725 0.012666287 0.030387867 0.0425522 0.3215495 0.3673371 0.4630212
"111" 0.15315787 0.275 0.01115226 0.029484067 0.040504921 0.3189521 0.3629535 0.4585105
"112" 0.1505198 0.2775 0.009997487 0.027935212 0.039031681 0.3167534 0.3591849 0.4554416
"113" 0.14775018 0.28 0.009090977 0.026187081 0.036794273 0.3124355 0.3551171 0.4498473
"114" 0.14505007 0.2825 0.008832299 0.024771468 0.035139278 0.3090961 0.3532652 0.4474283
"115" 0.14259336 0.285 0.008629179 0.023132655 0.033882736 0.3059092 0.3513664 0.4447292
"116" 0.14004375 0.2875 0.007256723 0.022059876 0.031928302 0.3026291 0.3461881 0.4390213
