"pmean" "r" "q0.005" "q0.025" "q0.05" "q0.95" "q0.975" "q0.995"
"1" 0 0 0 0 0 0 0 0
"2" 2.905331e-06 0.0025 0 0 0 0 0 0
"3" 5.547718e-05 0.005 0 0 0 0 0 0
"4" 0.0003424888 0.0075 0 0 0 0 0 0.01570681
"5" 0.001068289 0.01 0 0 0 0.01428571 0.01530612 0.01734104
"6" 0.00254996 0.0125 0 0 0 0.015625 0.01666667 0.0303038
"7" 0.005223771 0.015 0 0 0 0.02061856 0.02941176 0.03758401
"8" 0.009482204 0.0175 0 0 0 0.03125 0.0382263 0.04964716
"9" 0.015562 0.02 0 0 0 0.04402696 0.04964539 0.06451613
"10" 0.02372328 0.0225 0 0 0 0.05803608 0.06451613 0.08076406
"11" 0.03449309 0.025 0 0 0 0.07352941 0.08294981 0.0993605
"12" 0.04797162 0.0275 0 0 0.01208981 0.09284627 0.10244782 0.12121582
"13" 0.06437778 0.03 0 0.01388729 0.01666252 0.11526732 0.12649651 0.14710557
"14" 0.08349812 0.0325 0.01155059 0.02539683 0.03157895 0.14076293 0.15224542 0.17311055
"15" 0.1047537 0.035 0.01745196 0.03830741 0.04734938 0.16666667 0.17739201 0.20016582
"16" 0.1287526 0.0375 0.03462088 0.05584141 0.06595267 0.19389518 0.20588282 0.22913193
"17" 0.154799 0.04 0.05313938 0.07444298 0.08695652 0.224445 0.23698148 0.26401396
"18" 0.1825809 0.0425 0.07314805 0.09751689 0.11111111 0.25574706 0.26942127 0.29731302
"19" 0.2116037 0.045 0.09470678 0.12175204 0.13602362 0.28741513 0.30099366 0.32848302
"20" 0.2414349 0.0475 0.11666577 0.14814715 0.16326355 0.31845539 0.33420262 0.35759147
"21" 0.2713212 0.05 0.14736801 0.17706054 0.19266881 0.34911147 0.36296867 0.39030806
"22" 0.3011659 0.0525 0.17409635 0.20664483 0.22186137 0.37883108 0.39174592 0.42279055
"23" 0.3302933 0.055 0.20018529 0.23269364 0.25027293 0.40738816 0.42207616 0.45220172
"24" 0.3583455 0.0575 0.22953962 0.26065764 0.27926957 0.43428269 0.44877843 0.47778185
"25" 0.3854389 0.06 0.26121069 0.29171257 0.30744678 0.46083955 0.47240326 0.49985275
"26" 0.4105442 0.0625 0.28826679 0.3172633 0.33347722 0.48295859 0.49655568 0.52196785
"27" 0.4342764 0.065 0.31552392 0.34409127 0.35908651 0.50506963 0.51570915 0.54008029
"28" 0.4557092 0.0675 0.34008075 0.36842374 0.38368193 0.52260572 0.5340572 0.55777726
"29" 0.4750679 0.07 0.36154251 0.38986839 0.40613934 0.53898274 0.54933747 0.57605624
"30" 0.4928172 0.0725 0.38555598 0.41403328 0.42683265 0.5551689 0.56605605 0.58666789
"31" 0.508226 0.075 0.40476857 0.43224292 0.44486608 0.56683151 0.57747522 0.59620469
"32" 0.5215689 0.0775 0.42230719 0.44976174 0.46148895 0.5775231 0.58783961 0.60674423
"33" 0.5331187 0.08 0.43714914 0.4651495 0.47685905 0.58612857 0.5954392 0.6145811
"34" 0.5428898 0.0825 0.45519204 0.47807742 0.48899605 0.59255248 0.60192596 0.62004524
"35" 0.5513478 0.085 0.4676497 0.49060585 0.50121853 0.59885837 0.60753624 0.62366561
"36" 0.558442 0.0875 0.47847659 0.50089637 0.5109347 0.60371131 0.61170005 0.62845738
"37" 0.5644413 0.09 0.48922294 0.50938487 0.51940335 0.60742602 0.61593551 0.63173984
"38" 0.5693492 0.0925 0.49891171 0.51846832 0.52692827 0.61004811 0.61851949 0.6344011
"39" 0.5731191 0.095 0.50738067 0.52512171 0.53310965 0.6128933 0.62002251 0.63504731
"40" 0.5761836 0.0975 0.51464536 0.53017537 0.53819139 0.61384483 0.62097368 0.63534755
"41" 0.578697 0.1 0.52045327 0.53475254 0.54245554 0.6144181 0.62158439 0.6367051
"42" 0.5804912 0.1025 0.52537241 0.53860945 0.54607559 0.61501093 0.62153601 0.63526618
"43" 0.5819463 0.105 0.52959277 0.54280462 0.5488801 0.61488628 0.62194167 0.63546551
"44" 0.5831915 0.1075 0.53256241 0.54563512 0.55175303 0.61502949 0.6210514 0.63555969
"45" 0.5840665 0.11 0.5368965 0.5479588 0.55325544 0.61460884 0.62101093 0.6345253
"46" 0.5847529 0.1125 0.53937764 0.55002581 0.55555574 0.61449871 0.62045151 0.63315535
"47" 0.585315 0.115 0.54178508 0.5517249 0.55676705 0.61402041 0.61934881 0.63234219
"48" 0.5856416 0.1175 0.54327198 0.55302339 0.55805521 0.613738 0.61881498 0.63111062
"49" 0.585986 0.12 0.54548137 0.55460014 0.55938666 0.61270915 0.61813315 0.63027179
"50" 0.5861774 0.1225 0.54736825 0.55612498 0.56079531 0.61219366 0.61756346 0.62838436
"51" 0.5862826 0.125 0.54867849 0.55745335 0.56166576 0.61189189 0.61690036 0.62735001
"52" 0.5863867 0.1275 0.55037025 0.55807137 0.56226031 0.61132693 0.61592493 0.62651989
"53" 0.586462 0.13 0.55073013 0.55876228 0.56319557 0.61060109 0.61531794 0.6252352
"54" 0.5865352 0.1325 0.55200954 0.55947071 0.56401532 0.60997928 0.61442155 0.62446593
"55" 0.5865855 0.135 0.55328212 0.56047493 0.5648181 0.60951478 0.61410819 0.62508827
"56" 0.586623 0.1375 0.55392592 0.56116847 0.56538751 0.60883245 0.61359729 0.62422094
"57" 0.586662 0.14 0.5549843 0.56179529 0.56594107 0.60858556 0.61300618 0.62309719
"58" 0.5866188 0.1425 0.55618636 0.56269755 0.56625697 0.60827456 0.61229341 0.62215714
"59" 0.5866687 0.145 0.55663198 0.56341627 0.56690129 0.60779156 0.6122028 0.62208303
"60" 0.5867026 0.1475 0.55771239 0.56407495 0.56739407 0.60737495 0.61164479 0.62088729
"61" 0.5866626 0.15 0.55829313 0.56477837 0.56782157 0.60687706 0.61133842 0.62005122
"62" 0.5866286 0.1525 0.55951672 0.56500607 0.56816668 0.60659928 0.61090114 0.61930343
"63" 0.586612 0.155 0.55960772 0.56541933 0.56871111 0.6062744 0.61026083 0.61944691
"64" 0.5866114 0.1575 0.56006729 0.56588997 0.56901825 0.60590043 0.60986556 0.61859406
"65" 0.5865981 0.16 0.5604669 0.56644089 0.56925293 0.60566368 0.60951767 0.61834231
"66" 0.5865884 0.1625 0.5614415 0.56675962 0.56946256 0.60514714 0.60908461 0.6174662
"67" 0.5866008 0.165 0.56161055 0.56712328 0.56995808 0.60470177 0.6087742 0.61690405
"68" 0.5865911 0.1675 0.56214268 0.56748146 0.57023097 0.60446252 0.60834609 0.615993
"69" 0.5865784 0.17 0.56258557 0.56797687 0.5706242 0.60421361 0.60812047 0.61601263
"70" 0.5865967 0.1725 0.56298447 0.56836261 0.57095024 0.60390783 0.60803359 0.61547672
"71" 0.5865809 0.175 0.56373611 0.5684999 0.5712013 0.60366715 0.6076763 0.61522848
"72" 0.5865933 0.1775 0.56400273 0.56884081 0.57157948 0.60310058 0.6072076 0.61415087
"73" 0.5865963 0.18 0.56496922 0.56907688 0.57183161 0.60302607 0.6067869 0.61413508
"74" 0.5865686 0.1825 0.56489809 0.56932338 0.57195655 0.60265545 0.6062794 0.61384906
"75" 0.5865678 0.185 0.56525817 0.56970666 0.5722713 0.60246144 0.60592095 0.61394357
"76" 0.5865831 0.1875 0.56565663 0.57015817 0.57259385 0.602246 0.60568381 0.61352803
"77" 0.5865693 0.19 0.56628135 0.57042886 0.57283061 0.60212224 0.60560337 0.61335947
"78" 0.5865723 0.1925 0.56670022 0.57055416 0.57298637 0.60185599 0.60539972 0.6132622
"79" 0.5865843 0.195 0.5672074 0.57075969 0.57325586 0.6016845 0.60505431 0.61299264
"80" 0.5865679 0.1975 0.56712715 0.57105569 0.57340582 0.60149023 0.60480748 0.61218218
"81" 0.5865557 0.2 0.56773148 0.5712634 0.57365969 0.60115747 0.60445607 0.61187051
"82" 0.5865688 0.2025 0.568124 0.5715885 0.57388622 0.60112044 0.60429646 0.61159548
"83" 0.5865586 0.205 0.56820995 0.57188565 0.57398567 0.60096081 0.60417416 0.61099824
"84" 0.5865523 0.2075 0.56824564 0.57213664 0.57402091 0.6007538 0.60374499 0.61093559
"85" 0.5865425 0.21 0.5685311 0.57247762 0.5743295 0.60051119 0.60361382 0.61067072
"86" 0.5865383 0.2125 0.56882746 0.57245837 0.57455474 0.60041736 0.60348194 0.61060934
"87" 0.5865313 0.215 0.56909139 0.57267098 0.57472623 0.60023614 0.60324 0.61014938
"88" 0.5865239 0.2175 0.56925983 0.57293201 0.57485116 0.6001525 0.60304226 0.609992
"89" 0.5865367 0.22 0.56953571 0.57322001 0.57500745 0.60001816 0.60296617 0.60924744
"90" 0.58654 0.2225 0.57008162 0.57342303 0.57520566 0.59989933 0.60271197 0.60901665
"91" 0.5865403 0.225 0.57035431 0.57355933 0.57547801 0.59971995 0.60255153 0.60911168
"92" 0.5865353 0.2275 0.57049189 0.5738491 0.57563034 0.59950743 0.60219761 0.60889168
"93" 0.5865382 0.23 0.57064701 0.57389661 0.57579274 0.59950371 0.60220345 0.60816895
"94" 0.586533 0.2325 0.57061197 0.57418784 0.57592667 0.59934204 0.60194813 0.60798087
"95" 0.5865446 0.235 0.57079179 0.57431396 0.57603261 0.59913595 0.60176424 0.60797462
"96" 0.5865524 0.2375 0.57121777 0.5743918 0.57620135 0.59904617 0.60169888 0.60762402
"97" 0.5865489 0.24 0.57147594 0.57460125 0.57635967 0.59897238 0.60156481 0.60699649
"98" 0.5865356 0.2425 0.57182761 0.57469897 0.57644328 0.59880419 0.60138026 0.60669761
"99" 0.5865397 0.245 0.57210426 0.57489542 0.57658538 0.59875938 0.60131242 0.60678354
"100" 0.586537 0.2475 0.57234123 0.57504102 0.57667297 0.59860028 0.60119323 0.60634259
